249 50
-1.254695225806452e-03 3.073320678989644e-05 0.000000000000000e+00
-1.254695225806452e-03 3.428548428601327e-05 0.000000000000000e+00
-1.254695225806452e-03 3.821581134555014e-05 0.000000000000000e+00
-1.254695225806452e-03 4.256752579674247e-05 0.000000000000000e+00
-1.254695225806452e-03 4.738861190414603e-05 0.000000000000000e+00
-1.254695225806452e-03 5.273222946806898e-05 0.000000000000000e+00
-1.254695225806452e-03 5.865729999215039e-05 0.000000000000000e+00
-1.254695225806452e-03 6.522915638247307e-05 0.000000000000000e+00
-1.254695225806452e-03 7.252026334213108e-05 0.000000000000000e+00
-1.254695225806452e-03 8.061101640469628e-05 0.000000000000000e+00
-1.254695225806452e-03 8.959062841714292e-05 0.000000000000000e+00
-1.254695225806452e-03 9.955811324705019e-05 0.000000000000000e+00
-1.254695225806452e-03 1.106233775609511e-04 0.000000000000000e+00
-1.254695225806452e-03 1.229084327123415e-04 0.000000000000000e+00
-1.254695225806452e-03 1.365487401022570e-04 0.000000000000000e+00
-1.254695225806452e-03 1.516947048470630e-04 0.000000000000000e+00
-1.254695225806451e-03 1.685133342234127e-04 0.000000000000000e+00
-1.254695225806452e-03 1.871900791772520e-04 0.000000000000000e+00
-1.254695225806452e-03 2.079308792023038e-04 0.000000000000000e+00
-1.254695225806452e-03 2.309644331359256e-04 0.000000000000000e+00
-1.254695225806452e-03 2.565447209113154e-04 0.000000000000000e+00
-1.254695225806452e-03 2.849538040722148e-04 0.000000000000000e+00
-1.254695225806451e-03 3.165049359300414e-04 0.000000000000000e+00
-1.254695225806451e-03 3.515460156576565e-04 0.000000000000000e+00
-1.254695225806452e-03 3.904634244064029e-04 0.000000000000000e+00
-1.254695225806452e-03 4.336862857454328e-04 0.000000000000000e+00
-1.254695225806452e-03 4.816911974011392e-04 0.000000000000000e+00
-1.254695225806452e-03 5.350074864713115e-04 0.000000000000000e+00
-1.254695225806452e-03 5.942230460607407e-04 0.000000000000000e+00
-1.254695225806452e-03 6.599908176960429e-04 0.000000000000000e+00
-1.254695225806452e-03 7.330359909981782e-04 0.000000000000000e+00
-1.254695225806452e-03 8.141640000000000e-04 0.000000000000000e+00
-1.237268903225806e-03 0.000000000000000e+00 0.000000000000000e+00
-1.237268903225806e-03 1.000000000000000e-06 0.000000000000000e+00
-1.237268903225807e-03 2.011026519569227e-06 0.000000000000000e+00
-1.237268903225807e-03 3.044227662410711e-06 0.000000000000000e+00
-1.237268903225807e-03 4.110996041144938e-06 0.000000000000000e+00
-1.237268903225807e-03 5.223094398175853e-06 0.000000000000000e+00
-1.237268903225807e-03 6.392785307800153e-06 0.000000000000000e+00
-1.237268903225807e-03 7.632966389722759e-06 0.000000000000000e+00
-1.237268903225807e-03 8.957312524912868e-06 0.000000000000000e+00
-1.237268903225807e-03 1.038042664194659e-05 0.000000000000000e+00
-1.237268903225807e-03 1.191800073648462e-05 0.000000000000000e+00
-1.237268903225807e-03 1.358698889936951e-05 0.000000000000000e+00
-1.237268903225807e-03 1.540579426124013e-05 0.000000000000000e+00
-1.237268903225806e-03 1.739447191501176e-05 0.000000000000000e+00
-1.237268903225807e-03 1.957495005375056e-05 0.000000000000000e+00
-1.237268903225807e-03 2.197127176232363e-05 0.000000000000000e+00
-1.237268903225807e-03 2.460986012894468e-05 0.000000000000000e+00
-1.237268903225807e-03 2.751980959987341e-05 0.000000000000000e+00
-1.237268903225807e-03 3.073320678989644e-05 0.000000000000000e+00
-1.237268903225807e-03 3.428548428601327e-05 0.000000000000000e+00
-1.237268903225807e-03 3.821581134555016e-05 0.000000000000000e+00
-1.237268903225807e-03 4.256752579674246e-05 0.000000000000000e+00
-1.237268903225807e-03 4.738861190414601e-05 0.000000000000000e+00
-1.237268903225807e-03 5.273222946806898e-05 0.000000000000000e+00
-1.237268903225807e-03 5.865729999215037e-05 0.000000000000000e+00
-1.237268903225807e-03 6.522915638247307e-05 0.000000000000000e+00
-1.237268903225807e-03 7.252026334213110e-05 0.000000000000000e+00
-1.237268903225807e-03 8.061101640469630e-05 0.000000000000000e+00
-1.237268903225807e-03 8.959062841714292e-05 0.000000000000000e+00
-1.237268903225807e-03 9.955811324705020e-05 0.000000000000000e+00
-1.237268903225807e-03 1.106233775609511e-04 0.000000000000000e+00
-1.237268903225807e-03 1.229084327123415e-04 0.000000000000000e+00
-1.237268903225807e-03 1.365487401022570e-04 0.000000000000000e+00
-1.237268903225807e-03 1.516947048470630e-04 0.000000000000000e+00
-1.237268903225807e-03 1.685133342234127e-04 0.000000000000000e+00
-1.237268903225807e-03 1.871900791772519e-04 0.000000000000000e+00
-1.237268903225807e-03 2.079308792023038e-04 0.000000000000000e+00
-1.237268903225807e-03 2.309644331359255e-04 0.000000000000000e+00
-1.237268903225807e-03 2.565447209113154e-04 0.000000000000000e+00
-1.237268903225807e-03 2.849538040722148e-04 0.000000000000000e+00
-1.237268903225807e-03 3.165049359300416e-04 0.000000000000000e+00
-1.237268903225807e-03 3.515460156576565e-04 0.000000000000000e+00
-1.237268903225807e-03 3.904634244064029e-04 0.000000000000000e+00
-1.237268903225807e-03 4.336862857454329e-04 0.000000000000000e+00
-1.237268903225807e-03 4.816911974011393e-04 0.000000000000000e+00
-1.237268903225807e-03 5.350074864713115e-04 0.000000000000000e+00
-1.237268903225807e-03 5.942230460607409e-04 0.000000000000000e+00
-1.237268903225807e-03 6.599908176960429e-04 0.000000000000000e+00
-1.237268903225807e-03 7.330359909981782e-04 0.000000000000000e+00
-1.237268903225806e-03 8.141640000000000e-04 0.000000000000000e+00
-1.219842580645161e-03 0.000000000000000e+00 0.000000000000000e+00
-1.219842580645161e-03 1.000000000000000e-06 0.000000000000000e+00
-1.219842580645161e-03 2.011026519569227e-06 0.000000000000000e+00
-1.219842580645161e-03 3.044227662410711e-06 0.000000000000000e+00
-1.219842580645161e-03 4.110996041144938e-06 0.000000000000000e+00
-1.219842580645161e-03 5.223094398175853e-06 0.000000000000000e+00
-1.219842580645161e-03 6.392785307800154e-06 0.000000000000000e+00
-1.219842580645161e-03 7.632966389722759e-06 0.000000000000000e+00
-1.219842580645161e-03 8.957312524912868e-06 0.000000000000000e+00
-1.219842580645161e-03 1.038042664194659e-05 0.000000000000000e+00
-1.219842580645161e-03 1.191800073648461e-05 0.000000000000000e+00
-1.219842580645162e-03 1.358698889936951e-05 0.000000000000000e+00
-1.219842580645162e-03 1.540579426124013e-05 0.000000000000000e+00
-1.219842580645162e-03 1.739447191501176e-05 0.000000000000000e+00
-1.219842580645161e-03 1.957495005375057e-05 0.000000000000000e+00
-1.219842580645161e-03 2.197127176232362e-05 0.000000000000000e+00
-1.219842580645161e-03 2.460986012894468e-05 0.000000000000000e+00
-1.219842580645161e-03 2.751980959987340e-05 0.000000000000000e+00
-1.219842580645161e-03 3.073320678989646e-05 0.000000000000000e+00
-1.219842580645161e-03 3.428548428601327e-05 0.000000000000000e+00
-1.219842580645162e-03 3.821581134555014e-05 0.000000000000000e+00
-1.219842580645161e-03 4.256752579674247e-05 0.000000000000000e+00
-1.219842580645161e-03 4.738861190414602e-05 0.000000000000000e+00
-1.219842580645161e-03 5.273222946806897e-05 0.000000000000000e+00
-1.219842580645161e-03 5.865729999215038e-05 0.000000000000000e+00
-1.219842580645161e-03 6.522915638247307e-05 0.000000000000000e+00
-1.219842580645161e-03 7.252026334213110e-05 0.000000000000000e+00
-1.219842580645161e-03 8.061101640469629e-05 0.000000000000000e+00
-1.219842580645161e-03 8.959062841714292e-05 0.000000000000000e+00
-1.219842580645161e-03 9.955811324705019e-05 0.000000000000000e+00
-1.219842580645161e-03 1.106233775609511e-04 0.000000000000000e+00
-1.219842580645161e-03 1.229084327123415e-04 0.000000000000000e+00
-1.219842580645161e-03 1.365487401022570e-04 0.000000000000000e+00
-1.219842580645161e-03 1.516947048470630e-04 0.000000000000000e+00
-1.219842580645161e-03 1.685133342234127e-04 0.000000000000000e+00
-1.219842580645161e-03 1.871900791772519e-04 0.000000000000000e+00
-1.219842580645161e-03 2.079308792023038e-04 0.000000000000000e+00
-1.219842580645161e-03 2.309644331359256e-04 0.000000000000000e+00
-1.219842580645161e-03 2.565447209113154e-04 0.000000000000000e+00
-1.219842580645161e-03 2.849538040722148e-04 0.000000000000000e+00
-1.219842580645161e-03 3.165049359300414e-04 0.000000000000000e+00
-1.219842580645161e-03 3.515460156576564e-04 0.000000000000000e+00
-1.219842580645161e-03 3.904634244064028e-04 0.000000000000000e+00
-1.219842580645161e-03 4.336862857454328e-04 0.000000000000000e+00
-1.219842580645161e-03 4.816911974011392e-04 0.000000000000000e+00
-1.219842580645161e-03 5.350074864713115e-04 0.000000000000000e+00
-1.219842580645161e-03 5.942230460607410e-04 0.000000000000000e+00
-1.219842580645161e-03 6.599908176960431e-04 0.000000000000000e+00
-1.219842580645161e-03 7.330359909981782e-04 0.000000000000000e+00
-1.219842580645161e-03 8.141640000000000e-04 0.000000000000000e+00
-1.202416258064516e-03 0.000000000000000e+00 0.000000000000000e+00
-1.202416258064515e-03 1.000000000000000e-06 0.000000000000000e+00
-1.202416258064516e-03 2.011026519569227e-06 0.000000000000000e+00
-1.202416258064516e-03 3.044227662410712e-06 0.000000000000000e+00
-1.202416258064516e-03 4.110996041144938e-06 0.000000000000000e+00
-1.202416258064516e-03 5.223094398175853e-06 0.000000000000000e+00
-1.202416258064516e-03 6.392785307800155e-06 0.000000000000000e+00
-1.202416258064516e-03 7.632966389722759e-06 0.000000000000000e+00
-1.202416258064516e-03 8.957312524912868e-06 0.000000000000000e+00
-1.202416258064516e-03 1.038042664194659e-05 0.000000000000000e+00
-1.202416258064516e-03 1.191800073648462e-05 0.000000000000000e+00
-1.202416258064516e-03 1.358698889936951e-05 0.000000000000000e+00
-1.202416258064516e-03 1.540579426124013e-05 0.000000000000000e+00
-1.202416258064515e-03 1.739447191501175e-05 0.000000000000000e+00
-1.202416258064516e-03 1.957495005375056e-05 0.000000000000000e+00
-1.202416258064516e-03 2.197127176232363e-05 0.000000000000000e+00
-1.202416258064516e-03 2.460986012894468e-05 0.000000000000000e+00
-1.202416258064516e-03 2.751980959987341e-05 0.000000000000000e+00
-1.202416258064516e-03 3.073320678989644e-05 0.000000000000000e+00
-1.202416258064516e-03 3.428548428601327e-05 0.000000000000000e+00
-1.202416258064516e-03 3.821581134555014e-05 0.000000000000000e+00
-1.202416258064516e-03 4.256752579674245e-05 0.000000000000000e+00
-1.202416258064516e-03 4.738861190414603e-05 0.000000000000000e+00
-1.202416258064515e-03 5.273222946806899e-05 0.000000000000000e+00
-1.202416258064516e-03 5.865729999215039e-05 0.000000000000000e+00
-1.202416258064516e-03 6.522915638247307e-05 0.000000000000000e+00
-1.202416258064516e-03 7.252026334213108e-05 0.000000000000000e+00
-1.202416258064516e-03 8.061101640469625e-05 0.000000000000000e+00
-1.202416258064516e-03 8.959062841714292e-05 0.000000000000000e+00
-1.202416258064515e-03 9.955811324705019e-05 0.000000000000000e+00
-1.202416258064516e-03 1.106233775609511e-04 0.000000000000000e+00
-1.202416258064516e-03 1.229084327123415e-04 0.000000000000000e+00
-1.202416258064516e-03 1.365487401022570e-04 0.000000000000000e+00
-1.202416258064516e-03 1.516947048470631e-04 0.000000000000000e+00
-1.202416258064516e-03 1.685133342234126e-04 0.000000000000000e+00
-1.202416258064516e-03 1.871900791772519e-04 0.000000000000000e+00
-1.202416258064516e-03 2.079308792023038e-04 0.000000000000000e+00
-1.202416258064516e-03 2.309644331359256e-04 0.000000000000000e+00
-1.202416258064516e-03 2.565447209113154e-04 0.000000000000000e+00
-1.202416258064516e-03 2.849538040722148e-04 0.000000000000000e+00
-1.202416258064516e-03 3.165049359300416e-04 0.000000000000000e+00
-1.202416258064516e-03 3.515460156576565e-04 0.000000000000000e+00
-1.202416258064516e-03 3.904634244064029e-04 0.000000000000000e+00
-1.202416258064516e-03 4.336862857454327e-04 0.000000000000000e+00
-1.202416258064516e-03 4.816911974011392e-04 0.000000000000000e+00
-1.202416258064516e-03 5.350074864713115e-04 0.000000000000000e+00
-1.202416258064516e-03 5.942230460607409e-04 0.000000000000000e+00
-1.202416258064516e-03 6.599908176960429e-04 0.000000000000000e+00
-1.202416258064516e-03 7.330359909981782e-04 0.000000000000000e+00
-1.202416258064516e-03 8.141640000000000e-04 0.000000000000000e+00
-1.184989935483871e-03 0.000000000000000e+00 0.000000000000000e+00
-1.184989935483871e-03 1.000000000000000e-06 0.000000000000000e+00
-1.184989935483871e-03 2.011026519569227e-06 0.000000000000000e+00
-1.184989935483871e-03 3.044227662410711e-06 0.000000000000000e+00
-1.184989935483871e-03 4.110996041144938e-06 0.000000000000000e+00
-1.184989935483871e-03 5.223094398175853e-06 0.000000000000000e+00
-1.184989935483871e-03 6.392785307800155e-06 0.000000000000000e+00
-1.184989935483871e-03 7.632966389722759e-06 0.000000000000000e+00
-1.184989935483871e-03 8.957312524912869e-06 0.000000000000000e+00
-1.184989935483871e-03 1.038042664194659e-05 0.000000000000000e+00
-1.184989935483871e-03 1.191800073648461e-05 0.000000000000000e+00
-1.184989935483871e-03 1.358698889936951e-05 0.000000000000000e+00
-1.184989935483871e-03 1.540579426124013e-05 0.000000000000000e+00
-1.184989935483871e-03 1.739447191501176e-05 0.000000000000000e+00
-1.184989935483871e-03 1.957495005375056e-05 0.000000000000000e+00
-1.184989935483871e-03 2.197127176232363e-05 0.000000000000000e+00
-1.184989935483871e-03 2.460986012894468e-05 0.000000000000000e+00
-1.184989935483871e-03 2.751980959987341e-05 0.000000000000000e+00
-1.184989935483871e-03 3.073320678989646e-05 0.000000000000000e+00
-1.184989935483871e-03 3.428548428601327e-05 0.000000000000000e+00
-1.184989935483871e-03 3.821581134555014e-05 0.000000000000000e+00
-1.184989935483871e-03 4.256752579674245e-05 0.000000000000000e+00
-1.184989935483871e-03 4.738861190414603e-05 0.000000000000000e+00
-1.184989935483871e-03 5.273222946806897e-05 0.000000000000000e+00
-1.184989935483871e-03 5.865729999215037e-05 0.000000000000000e+00
-1.184989935483871e-03 6.522915638247307e-05 0.000000000000000e+00
-1.184989935483871e-03 7.252026334213110e-05 0.000000000000000e+00
-1.184989935483871e-03 8.061101640469625e-05 0.000000000000000e+00
-1.184989935483871e-03 8.959062841714290e-05 0.000000000000000e+00
-1.184989935483871e-03 9.955811324705019e-05 0.000000000000000e+00
-1.184989935483871e-03 1.106233775609511e-04 0.000000000000000e+00
-1.184989935483871e-03 1.229084327123415e-04 0.000000000000000e+00
-1.184989935483871e-03 1.365487401022570e-04 0.000000000000000e+00
-1.184989935483871e-03 1.516947048470630e-04 0.000000000000000e+00
-1.184989935483871e-03 1.685133342234126e-04 0.000000000000000e+00
-1.184989935483871e-03 1.871900791772520e-04 0.000000000000000e+00
-1.184989935483871e-03 2.079308792023038e-04 0.000000000000000e+00
-1.184989935483871e-03 2.309644331359255e-04 0.000000000000000e+00
-1.184989935483871e-03 2.565447209113154e-04 0.000000000000000e+00
-1.184989935483871e-03 2.849538040722148e-04 0.000000000000000e+00
-1.184989935483871e-03 3.165049359300416e-04 0.000000000000000e+00
-1.184989935483871e-03 3.515460156576565e-04 0.000000000000000e+00
-1.184989935483871e-03 3.904634244064029e-04 0.000000000000000e+00
-1.184989935483871e-03 4.336862857454329e-04 0.000000000000000e+00
-1.184989935483871e-03 4.816911974011392e-04 0.000000000000000e+00
-1.184989935483871e-03 5.350074864713115e-04 0.000000000000000e+00
-1.184989935483871e-03 5.942230460607410e-04 0.000000000000000e+00
-1.184989935483871e-03 6.599908176960429e-04 0.000000000000000e+00
-1.184989935483871e-03 7.330359909981782e-04 0.000000000000000e+00
-1.184989935483871e-03 8.141640000000000e-04 0.000000000000000e+00
-1.167563612903226e-03 0.000000000000000e+00 0.000000000000000e+00
-1.167563612903226e-03 1.000000000000000e-06 0.000000000000000e+00
-1.167563612903226e-03 2.011026519569227e-06 0.000000000000000e+00
-1.167563612903226e-03 3.044227662410711e-06 0.000000000000000e+00
-1.167563612903226e-03 4.110996041144938e-06 0.000000000000000e+00
-1.167563612903226e-03 5.223094398175854e-06 0.000000000000000e+00
-1.167563612903226e-03 6.392785307800154e-06 0.000000000000000e+00
-1.167563612903226e-03 7.632966389722759e-06 0.000000000000000e+00
-1.167563612903226e-03 8.957312524912866e-06 0.000000000000000e+00
-1.167563612903226e-03 1.038042664194658e-05 0.000000000000000e+00
-1.167563612903226e-03 1.191800073648461e-05 0.000000000000000e+00
-1.167563612903226e-03 1.358698889936951e-05 0.000000000000000e+00
-1.167563612903226e-03 1.540579426124013e-05 0.000000000000000e+00
-1.167563612903226e-03 1.739447191501175e-05 0.000000000000000e+00
-1.167563612903226e-03 1.957495005375056e-05 0.000000000000000e+00
-1.167563612903226e-03 2.197127176232363e-05 0.000000000000000e+00
-1.167563612903226e-03 2.460986012894468e-05 0.000000000000000e+00
-1.167563612903226e-03 2.751980959987341e-05 0.000000000000000e+00
-1.167563612903226e-03 3.073320678989644e-05 0.000000000000000e+00
-1.167563612903226e-03 3.428548428601327e-05 0.000000000000000e+00
-1.167563612903226e-03 3.821581134555014e-05 0.000000000000000e+00
-1.167563612903226e-03 4.256752579674245e-05 0.000000000000000e+00
-1.167563612903226e-03 4.738861190414601e-05 0.000000000000000e+00
-1.167563612903226e-03 5.273222946806897e-05 0.000000000000000e+00
-1.167563612903226e-03 5.865729999215039e-05 0.000000000000000e+00
-1.167563612903226e-03 6.522915638247307e-05 0.000000000000000e+00
-1.167563612903226e-03 7.252026334213108e-05 0.000000000000000e+00
-1.167563612903226e-03 8.061101640469625e-05 0.000000000000000e+00
-1.167563612903226e-03 8.959062841714290e-05 0.000000000000000e+00
